_id,category,description,image,price,colors,company,featured,id,name,createdAt,updatedAt,__v
655f900b2bb23ab678515135,mobile,"The mobile is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/1275229/pexels-photo-1275229.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,6000000,"#ff0000,#000000,#CDD0D0",apple,true,thapaserialnoa,iphone x,2023-11-23T17:46:51.463Z,2023-11-23T17:46:51.464Z,0
655f900b2bb23ab678515136,mobile,"The mobile is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/404280/pexels-photo-404280.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,5000000,"#000,#22D3EF",samsung,false,thapaserialnob,samsung s20,2023-11-23T17:46:51.467Z,2023-11-23T17:46:51.468Z,0
655f900b2bb23ab678515137,laptop,"The Laptop is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/7974/pexels-photo.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,600000,"#22D3EF,#CDD0D0",dell,false,thapaserialnoc,Dell Series,2023-11-23T17:46:51.469Z,2023-11-23T17:46:51.469Z,0
655f900b2bb23ab678515138,mobile,"The mobile is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/4224099/pexels-photo-4224099.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,12599,"#000,#000000,#CDD0D0",nokia,false,thapaserialnod,Nokia 420,2023-11-23T17:46:51.470Z,2023-11-23T17:46:51.471Z,0
655f900b2bb23ab678515139,computer,"The Computer is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,4000099,"#000,#CDD0D0",apple,false,thapaserialnoe,Mac Pc,2023-11-23T17:46:51.471Z,2023-11-23T17:46:51.471Z,0
655f900b2bb23ab67851513a,laptop,"The Laptop is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/303383/pexels-photo-303383.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,42999,"#000000,#CDD0D0",apple,false,thapaserialnof,Macbook Pro,2023-11-23T17:46:51.474Z,2023-11-23T17:46:51.474Z,0
655f900b2bb23ab67851513b,laptop,"The laptop is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/261662/pexels-photo-261662.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,23999,"#CDD0D0,#000",asus,false,thapaserialnog,Asus gseries,2023-11-23T17:46:51.475Z,2023-11-23T17:46:51.475Z,0
655f900b2bb23ab67851513c,accessories,"The accessories is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/3178938/pexels-photo-3178938.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,1099999,"#000,#CDD0D0",lenova,true,thapaserialnoh,Accessories,2023-11-23T17:46:51.476Z,2023-11-23T17:46:51.476Z,0
655f900b2bb23ab67851513d,watch,"This watch is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/437037/pexels-photo-437037.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,39999,#000000,apple,false,thapaserialnoi,Iwatch,2023-11-23T17:46:51.477Z,2023-11-23T17:46:51.477Z,0
655f900b2bb23ab67851513e,accessories,"The mobile is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/1619651/pexels-photo-1619651.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,300099,"#ff0000,#22D3EF,#000000",apple,false,thapaserialnoj,user need,2023-11-23T17:46:51.477Z,2023-11-23T17:46:51.477Z,0
655f900b2bb23ab67851513f,watch,"This watch is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/1697214/pexels-photo-1697214.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,999999,"#000000,#CDD0D0",rolex,false,thapaserialnok,rolex premium,2023-11-23T17:46:51.478Z,2023-11-23T17:46:51.478Z,0
655f900b2bb23ab678515140,watch,"This watch is compact with its 6.2-inch OLED screen and far lighter at 168g. It perfectly captures the design, looks, and feel of the expensive one. It comes with a snapdragon processor with a 5n chip in it. It has a 200mp camera in the rear 100mp in front perfect for selfie lovers. It also support HDR content means you can watch 4K content on it.",https://images.pexels.com/photos/51011/pexels-photo-51011.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,311999,"#22D3EF,#ff0000,#000000",samsung,true,thapaserialnol,galaxy w20,2023-11-23T17:46:51.479Z,2023-11-23T17:46:51.479Z,0
655f9063aa0ad6941100281d,men's clothing,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg,109.95,,,false,1,,2023-11-23T17:48:19.490Z,2023-11-23T17:48:19.490Z,0
655f9063aa0ad6941100281e,men's clothing,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.",https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,22.3,,,false,2,,2023-11-23T17:48:19.492Z,2023-11-23T17:48:19.493Z,0
655f9063aa0ad6941100281f,men's clothing,"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.",https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,55.99,,,false,3,,2023-11-23T17:48:19.494Z,2023-11-23T17:48:19.494Z,0
655f9063aa0ad69411002820,men's clothing,"The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description.",https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,15.99,,,false,4,,2023-11-23T17:48:19.497Z,2023-11-23T17:48:19.497Z,0
